,gene_ID,average_log2FoldChange,adjpval
gene-dnal4a,dnal4a,-4.242449138,7.45E-10
gene-sp100.3,sp100.3,-2.054700171,9.02E-10
gene-LOC110437860,LOC110437860,-2.389865984,2.40E-15
gene-sp100.1,sp100.1,-2.838131541,0.000382909
gene-zmp:0000000912,zmp:0000000912,-1.971968053,4.46E-12
gene-si:ch211-256m1.8,si:ch211-256m1.8,-2.635935665,0
gene-mgat3a,mgat3a,1.787178215,0
gene-LOC101886214,LOC101886214,1.833972419,9.71E-05
gene-pik3r6b,pik3r6b,-3.645014749,1.24E-10
gene-hmox1a,hmox1a,-1.762659774,0
gene-atp2a1,atp2a1,-3.835968348,0
gene-LOC103910250,LOC103910250,-2.307944657,0
gene-si:dkey-202l16.5,si:dkey-202l16.5,-2.461728867,1.74E-09
gene-grin2aa,grin2aa,-1.509307139,0
gene-si:ch211-157c3.4,si:ch211-157c3.4,1.607746692,1.29E-11
gene-LOC103910253,LOC103910253,-4.095782788,3.72E-14
gene-gsg1l,gsg1l,-2.272521996,0
gene-LOC103910256,LOC103910256,-2.349400447,0.002205568
gene-grap2a,grap2a,-1.556961443,0
gene-ifi35,ifi35,-1.7533776,0
gene-hsd17b14,hsd17b14,-1.82116656,0
gene-med25,med25,2.931094536,0
gene-syt3,syt3,-3.420307324,2.52E-08
gene-cldni,cldni,-7.571300874,8.48E-08
gene-prf1.9,prf1.9,-3.635474504,7.15E-05
gene-cox6a2,cox6a2,-1.599064501,0
gene-paqr4a,paqr4a,-5.523559655,0
gene-LOC103910262,LOC103910262,-1.692959136,0
gene-apnl,apnl,-2.339984512,0.01494657
gene-kcnh6a,kcnh6a,-2.868998512,0
gene-gfap,gfap,-2.008634241,4.31E-07
gene-kcnc3a,kcnc3a,-1.675533446,0
gene-zgc:193811,zgc:193811,-2.914788491,0
gene-si:ch211-195b15.7,si:ch211-195b15.7,-4.045261121,0
gene-LOC100534937,LOC100534937,-2.623126462,0.003660337
gene-LOC100007086,LOC100007086,-3.462930426,2.40E-07
gene-trpm4a,trpm4a,-2.287432541,1.19E-07
gene-si:dkey-16l2.17,si:dkey-16l2.17,-5.03631517,0.000108094
gene-zgc:153733,zgc:153733,4.216193714,0
gene-si:dkey-16l2.20,si:dkey-16l2.20,-2.203586788,3.74E-07
gene-aoc2,aoc2,-1.568050373,0
gene-casp6l2,casp6l2,-3.295249051,0.000121176
gene-abi3a,abi3a,-2.003032887,7.26E-10
gene-ccdc103,ccdc103,-2.680306262,0
gene-si:ch211-165d12.4,si:ch211-165d12.4,-2.746599972,1.51E-13
gene-nsfa,nsfa,-2.26528142,0
gene-cacng3b,cacng3b,-1.679960447,2.21E-07
gene-gng13b,gng13b,-2.300298276,1.58E-08
gene-rab11fip4a,rab11fip4a,-1.912501456,0.00025206
gene-si:ch211-234h8.7,si:ch211-234h8.7,-1.6577308,1.20E-08
gene-rac3a,rac3a,-2.147406537,3.33E-12
gene-zgc:86896,zgc:86896,-1.959433163,6.62E-08
gene-slc16a6b,slc16a6b,-1.902521324,0
gene-rgs9a,rgs9a,-2.206812628,3.46E-05
gene-myh11b,myh11b,-1.629614556,0
gene-abcc6b.2,abcc6b.2,-1.985528427,0.009910772
gene-ezh1,ezh1,-1.893961849,0
gene-fmnl1a,fmnl1a,-2.10542479,0
gene-LOC103910295,LOC103910295,-1.959330209,0.001445454
gene-cdk21,cdk21,-2.045718537,0
gene-si:dkeyp-57f11.2,si:dkeyp-57f11.2,-1.521440306,5.44E-07
gene-zgc:154169,zgc:154169,-3.393895475,7.63E-11
gene-zgc:100868,zgc:100868,-2.538220098,0.000785034
gene-si:ch211-198p11.6,si:ch211-198p11.6,-1.973389853,0
gene-si:dkey-27o4.1,si:dkey-27o4.1,-2.166691757,3.92E-13
gene-grapa,grapa,-1.544122198,9.39E-14
gene-cacna1ha,cacna1ha,-2.3052388,0
gene-slc29a4,slc29a4,-1.53315159,0
gene-mmd2a,mmd2a,-2.363798654,0.002750766
gene-arpc1b,arpc1b,-1.626393785,0
gene-LOC103910301,LOC103910301,-4.023624731,0
gene-si:dkey-43p13.5,si:dkey-43p13.5,1.585716221,0
gene-zgc:92162,zgc:92162,-2.50005234,0
gene-si:ch73-156l6.2,si:ch73-156l6.2,-1.684017135,1.58E-05
gene-LOC103910311,LOC103910311,-2.122964827,4.08E-16
gene-LOC101882899,LOC101882899,-2.083689794,0
gene-znf750,znf750,-3.045335519,0.006730948
gene-zgc:92161,zgc:92161,-1.54467937,0.030555463
gene-crb3a,crb3a,-1.515871354,0
gene-LOC103910317,LOC103910317,-2.39129386,0.006725627
gene-LOC100538283,LOC100538283,-2.794746485,5.66E-11
gene-aatka,aatka,-1.570702792,6.68E-07
gene-si:dkey-210j14.3,si:dkey-210j14.3,-3.091068625,8.11E-16
gene-LOC556170,LOC556170,-3.558654911,7.68E-05
gene-soul5,soul5,-1.562419981,0
gene-angptl6,angptl6,-2.099973021,2.30E-05
gene-hbaa2,hbaa2,-2.216013511,0.000843396
gene-hbba2,hbba2,-1.632855938,0.019848438
gene-hbaa1,hbaa1,-1.697467323,0
gene-si:ch211-5k11.8,si:ch211-5k11.8,-1.677861154,0
gene-ba1,ba1,-1.734967791,0
gene-cyth3b,cyth3b,-2.124176534,0.00013202
gene-LOC101885757,LOC101885757,-2.591265033,2.39E-07
gene-ush1ga,ush1ga,-2.057337715,1.48E-05
gene-otop2,otop2,-2.14986667,6.87E-08
gene-socs3a,socs3a,-1.929654007,0
gene-LOC101883359,LOC101883359,-2.125287134,1.54E-13
gene-LOC110439305,LOC110439305,-1.766745903,0.000120163
gene-si:ch73-281f12.4,si:ch73-281f12.4,-1.636728302,8.63E-15
gene-im:6904045,im:6904045,-1.806265765,2.18E-05
gene-LOC101885252,LOC101885252,-1.620949733,0
gene-LOC101885134,LOC101885134,-3.043764997,0.0002657
gene-LOC101885199,LOC101885199,-2.737938373,0.021310499
gene-LOC101883625,LOC101883625,-1.805826824,0.007351085
gene-si:ch211-110e21.3,si:ch211-110e21.3,-2.57757696,2.92E-13
gene-LOC108182859,LOC108182859,-2.326325134,0.026906726
gene-LOC110437795,LOC110437795,-2.275815397,5.74E-05
gene-si:ch73-364h19.1,si:ch73-364h19.1,-2.927427996,0
gene-LOC100330159,LOC100330159,-4.299954902,0
gene-foxj1a,foxj1a,-3.478415533,0
gene-anks4b,anks4b,-1.679199338,5.09E-06
gene-cacng4b,cacng4b,-2.092689771,0.005347418
gene-pvalb4,pvalb4,-1.810769726,0
gene-pvalb1,pvalb1,-1.655834036,0
gene-tecpr1b,tecpr1b,-2.151756552,1.94E-08
gene-nptx2a,nptx2a,-4.058363206,0
gene-tom1l2,tom1l2,-1.57297815,0
gene-iqck,iqck,-1.608491036,0
gene-drc3,drc3,-3.06757244,0
gene-znf1024,znf1024,-1.551263691,4.61E-10
gene-znf1124,znf1124,-1.687450546,1.56E-06
gene-ptpro,ptpro,-1.65225887,0
gene-dynlt1,dynlt1,-3.067706428,0
gene-LOC101884805,LOC101884805,-2.250992212,0.030571426
gene-dpysl5b,dpysl5b,-1.639330028,0
gene-ripply2,ripply2,-1.760298198,0
gene-LOC100538098,LOC100538098,-1.98841454,0
gene-proser2,proser2,-3.635580123,0
gene-ptn,ptn,-1.519302713,0
gene-LOC103910369,LOC103910369,-3.156478212,5.12E-11
gene-frs2a,frs2a,-1.898920819,0
gene-kcnc2,kcnc2,1.624177134,0
gene-glipr1a,glipr1a,-2.697416454,4.17E-10
gene-osbpl8,osbpl8,-2.986615146,0
gene-e2f7,e2f7,-2.428416291,0
gene-pde3a,pde3a,-1.959460292,0
gene-LOC100330316,LOC100330316,-1.865956709,8.05E-07
gene-pik3cg,pik3cg,-1.539516978,0
gene-sypl1,sypl1,-1.822610512,0
gene-gpr37b,gpr37b,-1.766653578,0.000113709
gene-asb15b,asb15b,-2.165816718,0.000931199
gene-LOC103910386,LOC103910386,-2.361684541,7.84E-05
gene-ano2,ano2,-2.532245398,0.018358091
gene-LOC110439418,LOC110439418,-1.539000575,0.004262745
gene-dgki,dgki,-1.560602307,0
gene-si:ch211-258f14.2,si:ch211-258f14.2,-1.612239904,4.02E-13
gene-LOC101884879,LOC101884879,-2.470645205,0.033278328
gene-si:dkey-14d8.21,si:dkey-14d8.21,-3.333801579,8.11E-16
gene-mapk12b,mapk12b,-2.915500824,3.88E-08
gene-mapk11,mapk11,-1.967540847,9.43E-14
gene-vegfab,vegfab,-1.533441441,0
gene-rsph9,rsph9,-5.672296894,0
gene-ccnd2b,ccnd2b,-1.583447472,0
gene-galnt8b.2,galnt8b.2,-2.552732821,0
gene-si:ch211-214j24.9,si:ch211-214j24.9,-1.562372931,2.45E-12
gene-si:dkey-14d8.20,si:dkey-14d8.20,-1.67698137,0
gene-fgf6b,fgf6b,-2.223641124,0.009882652
gene-cecr1b,cecr1b,-1.57335724,0.001931341
gene-LOC110439415,LOC110439415,-3.189166433,1.28E-05
gene-ngs,ngs,-3.859671492,0
gene-LOC101885859,LOC101885859,-2.707711315,0
gene-si:ch211-262n1.5,si:ch211-262n1.5,-2.711379256,0.003739395
gene-gpr85,gpr85,-2.243907092,1.36E-10
gene-LOC103910397,LOC103910397,-2.790381797,4.74E-13
gene-si:ch211-157e21.2,si:ch211-157e21.2,-1.739341533,0
gene-elk3,elk3,-2.731051002,5.36E-10
gene-si:ch1073-67j19.1,si:ch1073-67j19.1,-1.859861176,0.016051673
gene-phyh,phyh,-1.687596754,0
gene-ccdc3a,ccdc3a,2.738256664,0.000936242
gene-LOC103910403,LOC103910403,1.531815258,0
gene-sult4a1,sult4a1,-1.741773166,1.44E-05
gene-chst11,chst11,-3.023729734,2.38E-08
gene-tmtc1,tmtc1,-1.901176631,4.04E-06
gene-shank3b,shank3b,-1.667859344,5.77E-11
gene-dclre1c,dclre1c,-1.924513254,2.65E-09
gene-meig1,meig1,-2.676048054,0
gene-tspan9b,tspan9b,-3.516155334,0
gene-si:dkey-153k10.9,si:dkey-153k10.9,-3.471122074,3.04E-14
gene-mical3b,mical3b,-3.710559048,0
gene-si:dkeyp-27e10.3,si:dkeyp-27e10.3,-1.834488656,0
gene-ttc41,ttc41,-1.541098666,0
gene-glt8d2,glt8d2,-1.52826317,1.14E-10
gene-hsp90b1,hsp90b1,1.527426581,0
gene-LOC101885530,LOC101885530,-3.14348416,2.21E-05
gene-tspan12,tspan12,-2.701596953,1.19E-09
gene-LOC108183374,LOC108183374,-2.485889589,0
gene-LOC101885301,LOC101885301,-2.874552504,0.032464553
gene-asb13a.1,asb13a.1,-1.552794427,0.001616577
gene-LOC100536913,LOC100536913,-2.284512018,0
gene-btbd11a,btbd11a,-1.581018664,0
gene-cry1aa,cry1aa,-1.888126865,0
gene-LOC108183387,LOC108183387,-2.538127498,0.014012208
gene-rergla,rergla,-2.872508244,4.70E-09
gene-lmo3,lmo3,1.785192701,2.54E-05
gene-mgst1.1,mgst1.1,-3.115399367,2.13E-11
gene-irak3,irak3,-2.9660234,4.08E-16
gene-b2m,b2m,-1.529044681,0
gene-wif1,wif1,-2.149843731,3.26E-05
gene-mdm1,mdm1,-2.56158366,0
gene-opn1sw1,opn1sw1,-2.344207359,0.004889558
gene-si:dkeyp-81f3.4,si:dkeyp-81f3.4,-4.255816795,0
gene-LOC103910423,LOC103910423,-2.396139711,0.000526661
gene-cntn1b,cntn1b,-1.531283471,0.000225289
gene-yaf2,yaf2,-1.851015452,0
gene-prickle1b,prickle1b,-2.498432735,0
gene-si:ch211-127b11.1,si:ch211-127b11.1,1.985714937,0
gene-abcc9,abcc9,-1.992589105,0
gene-akr1b1,akr1b1,-2.598503623,0
gene-prdm4,prdm4,-1.837216394,2.44E-14
gene-cax1,cax1,1.644123564,0
gene-LOC103910431,LOC103910431,-2.03237454,0.004649667
gene-lrguk,lrguk,-4.087160686,2.91E-13
gene-LOC110437847,LOC110437847,1.511537494,0
gene-pkp2,pkp2,-2.075323887,0
gene-gys2,gys2,2.009747772,0
gene-LOC110439359,LOC110439359,-2.28770205,0.042172323
gene-etnk1,etnk1,-1.522244729,0
gene-casc1,casc1,-5.531611418,0
gene-sox5,sox5,-2.224452988,0
gene-bcat1,bcat1,-2.298031464,0
gene-chpt1,chpt1,-1.633360004,0
gene-mybpc1,mybpc1,-3.106504448,1.68E-09
gene-LOC103910448,LOC103910448,-3.159952604,4.08E-16
gene-LOC108183289,LOC108183289,-2.01796598,0.000118605
gene-LOC101883382,LOC101883382,-2.045182687,8.82E-05
gene-LOC108183547,LOC108183547,-2.422312211,0.042771768
gene-LOC110439360,LOC110439360,-2.650508159,0
gene-si:dkey-202b22.6,si:dkey-202b22.6,-3.477114414,0
gene-si:ch211-239e6.4,si:ch211-239e6.4,1.504231865,0
gene-wnt7ba,wnt7ba,-3.629914149,9.28E-12
gene-pparaa,pparaa,-1.600205943,0
gene-def6c,def6c,-1.512439388,0
gene-slc26a3.2,slc26a3.2,-3.882430903,1.28E-12
gene-si:dkey-21o22.2,si:dkey-21o22.2,-3.653007562,3.19E-15
gene-cdhr5-rs,cdhr5-rs,-2.607180162,0.014018593
gene-lrrc4.1,lrrc4.1,-2.261947329,0.000473831
gene-lrrc17,lrrc17,-1.506659255,1.17E-14
gene-sinup,sinup,2.079008972,0
gene-LOC101883422,LOC101883422,-2.447518801,0
gene-lrtm2a,lrtm2a,-1.72527795,0
gene-LOC101884775,LOC101884775,-2.694645361,8.49E-10
gene-rassf8b,rassf8b,-2.719481542,2.81E-13
gene-LOC101884710,LOC101884710,-1.935189173,1.60E-09
gene-LOC101884649,LOC101884649,-2.527227371,1.26E-07
gene-zmp:0000000650,zmp:0000000650,-2.915763477,0
gene-myf5,myf5,-2.576064919,0.001028113
gene-LOC108183408,LOC108183408,-2.165295716,2.00E-11
gene-myf6,myf6,-4.420324049,3.54E-12
gene-ppfia2,ppfia2,-1.948296515,0
gene-gnai1,gnai1,-1.858511675,0
gene-gata3,gata3,-2.134159481,0
gene-sfmbt2,sfmbt2,-2.027799857,0
gene-itih5,itih5,-1.955486434,2.31E-05
gene-acot15,acot15,-2.593315306,9.36E-14
gene-lamb1b,lamb1b,-1.691516589,7.56E-14
gene-iqsec3a,iqsec3a,1.888728964,0
gene-LOC110439426,LOC110439426,-1.569752438,0.007733616
gene-si:dkeyp-122d12.1,si:dkeyp-122d12.1,-2.90109013,0
gene-LOC110439352,LOC110439352,-2.362605806,0.034360032
gene-LOC110439425,LOC110439425,-2.044816167,3.02E-06
gene-LOC101885496,LOC101885496,-2.68287295,0.002798917
gene-LOC103910615,LOC103910615,-2.83951239,4.08E-16
gene-LOC103910502,LOC103910502,-1.693788382,0.027734312
gene-LOC101882171,LOC101882171,-2.15986297,1.79E-06
gene-LOC103910489,LOC103910489,-2.042849768,1.45E-07
gene-LOC108183630,LOC108183630,-1.596759344,0.028694319
gene-LOC103910497,LOC103910497,-2.604588707,0.00134809
gene-LOC108179149,LOC108179149,-3.240165303,0.020346303
gene-LOC100004373,LOC100004373,-2.805779218,0.046069874
gene-LOC101883823,LOC101883823,-1.511261051,3.17E-07
gene-LOC100150619,LOC100150619,-2.501395447,0.001488098
gene-LOC108183721,LOC108183721,1.638503198,5.42E-06
gene-LOC110439470,LOC110439470,-1.558799491,0
gene-LOC110439490,LOC110439490,-2.842596211,0
gene-LOC101885685,LOC101885685,-1.562026776,0.003625032
gene-LOC103910616,LOC103910616,-1.701929826,0.005517421
gene-LOC108183712,LOC108183712,-2.450330103,0
gene-znf1072,znf1072,-3.014569053,0.024508822
gene-LOC101885806,LOC101885806,-3.408915605,7.86E-09
gene-LOC101886021,LOC101886021,-3.399965346,0.001784238
gene-LOC101886199,LOC101886199,-2.241054907,1.54E-12
gene-LOC101884862,LOC101884862,-2.412838672,0.037588823
gene-LOC101884799,LOC101884799,-2.041097597,0.00588675
gene-si:dkey-26m3.1,si:dkey-26m3.1,-1.885686359,0
gene-LOC101884513,LOC101884513,-1.788750427,2.94E-09
gene-LOC110439515,LOC110439515,-2.16458772,0.013143175
gene-LOC101885113,LOC101885113,-1.991729542,9.69E-05
gene-si:ch211-197e7.1,si:ch211-197e7.1,-1.705712534,0.006295312
gene-LOC108183844,LOC108183844,-2.303910693,0.000920551
gene-LOC110439542,LOC110439542,2.045012402,0.027539471
gene-LOC103910742,LOC103910742,-3.890231777,0
gene-LOC108183853,LOC108183853,-2.863879116,0.00295273
gene-LOC101883188,LOC101883188,-1.57685797,0.019795677
gene-LOC110439536,LOC110439536,-2.979250455,0.000313616
gene-LOC100332458,LOC100332458,-1.561545113,0.013448533
gene-LOC108183452,LOC108183452,-3.017409658,6.62E-11
gene-LOC101885394,LOC101885394,-2.10624041,0
gene-LOC101886012,LOC101886012,-1.688518058,0.007760961
gene-LOC570694,LOC570694,-1.8110528,0.021579246
gene-LOC100005924,LOC100005924,-1.882192723,2.81E-06
gene-LOC103910786,LOC103910786,-1.892048757,0.01391215
gene-LOC110439564,LOC110439564,-1.853033821,3.10E-09
gene-LOC110439563,LOC110439563,-1.641368592,3.61E-14
gene-LOC103910795,LOC103910795,-5.381036082,0
gene-LOC101883686,LOC101883686,-1.843898425,0.006349892
gene-LOC110439573,LOC110439573,-2.244534824,1.33E-06
gene-LOC110439557,LOC110439557,-2.353121524,0.00399432
gene-LOC110439565,LOC110439565,-2.014253844,2.56E-06
gene-LOC110439555,LOC110439555,-1.872271204,0
gene-LOC108183921,LOC108183921,-2.454174885,0.004113313
gene-LOC108183338,LOC108183338,-3.248634917,0.020529337
gene-LOC103910847,LOC103910847,-2.370690914,1.22E-05
gene-LOC103910871,LOC103910871,-1.685242899,0
gene-LOC103910868,LOC103910868,-1.78828334,0.00019085
gene-LOC108183929,LOC108183929,-1.514779453,0.033380303
gene-LOC110439610,LOC110439610,-1.527732651,0.046265816
gene-LOC108184007,LOC108184007,-1.805158153,0.007887989
gene-LOC101887122,LOC101887122,-1.899710066,0.021183428
gene-LOC108184035,LOC108184035,-2.547853625,0.015110115
gene-LOC103910906,LOC103910906,-1.874739077,4.90E-07
gene-znf1070,znf1070,-2.026401406,0.018579703
gene-LOC101882015,LOC101882015,-2.68389112,0.000275012
gene-LOC110439616,LOC110439616,-2.844875591,4.48E-06
gene-LOC103910921,LOC103910921,-3.221266148,0.042289769
gene-LOC100333746,LOC100333746,-1.747367599,0.006797332
gene-LOC108183482,LOC108183482,-1.755705466,0.017137724
gene-LOC110439630,LOC110439630,-3.051363702,1.28E-05
gene-LOC108183485,LOC108183485,-1.558440653,0.010218402
gene-si:dkeyp-123a12.2,si:dkeyp-123a12.2,-2.993626424,0.002028928
gene-LOC108183344,LOC108183344,-2.460826255,0.014389544
gene-LOC108183497,LOC108183497,-1.90993138,2.48E-05
gene-LOC108184028,LOC108184028,-2.463550615,0.006843987
gene-ftr64,ftr64,-1.941988567,5.50E-13
gene-LOC103910991,LOC103910991,-4.408381635,0
gene-zgc:175107,zgc:175107,-2.11503241,0
gene-LOC100150280,LOC100150280,-1.61739618,0.008020322
gene-si:ch211-165i18.2,si:ch211-165i18.2,-3.146704096,0
gene-LOC101885678,LOC101885678,1.506936925,2.37E-06
gene-si:cabz01069022.1,si:cabz01069022.1,-1.817059235,0.007854321
gene-LOC100149352,LOC100149352,2.008506724,0.001036913
gene-si:cabz01083838.1,si:cabz01083838.1,-1.612791073,1.78E-11
gene-LOC108183584,LOC108183584,-2.650338446,2.89E-05
gene-LOC101884135,LOC101884135,-2.186878621,0.003069364
gene-si:dkey-71l4.3,si:dkey-71l4.3,-1.960190573,4.33E-09
gene-LOC108184064,LOC108184064,-1.570580463,4.19E-05
gene-LOC101882772,LOC101882772,-1.795674095,0.000305624
gene-LOC108184067,LOC108184067,-1.815791506,0.000471847
gene-LOC101886838,LOC101886838,-2.709855144,0.028919461
gene-LOC103911027,LOC103911027,-1.812605415,0.014390415
gene-ttll1,ttll1,-1.79614194,0
gene-LOC110439382,LOC110439382,-1.881962994,2.05E-05
gene-LOC108183534,LOC108183534,-3.330793897,9.67E-06
gene-tek,tek,-1.579485635,0
gene-LOC103911031,LOC103911031,-3.600478621,1.24E-10
gene-LOC101883870,LOC101883870,-4.539974735,0
gene-LOC103911030,LOC103911030,-3.197655616,0
gene-zgc:158463,zgc:158463,-2.169034781,0
gene-dnm1a,dnm1a,-2.230939496,7.54E-07
gene-LOC110439839,LOC110439839,-4.220161098,1.11E-09
gene-LOC100148581,LOC100148581,-2.751222541,4.39E-09
gene-hsf5,hsf5,-4.271135246,0
gene-LOC100331436,LOC100331436,1.72520079,0.000218227
gene-LOC103910293,LOC103910293,-2.211555454,0.000100375
gene-rabepk,rabepk,-1.998470914,0
gene-LOC795227,LOC795227,-2.353129894,2.54E-10
gene-LOC101884896,LOC101884896,-1.54328584,0
gene-si:zfos-375h5.1,si:zfos-375h5.1,-2.824926024,3.29E-07
gene-si:ch211-283g2.2,si:ch211-283g2.2,-2.362935901,0
gene-gb:ee300746,gb:ee300746,-5.006237107,0
gene-angptl2a,angptl2a,-2.405088439,0.000371435
gene-zmp:0000000794,zmp:0000000794,-3.415893918,7.81E-13
gene-tnks1bp1,tnks1bp1,-1.575791323,9.51E-12
gene-elac1,elac1,3.046731449,0
gene-stpg2,stpg2,-1.843625449,0
gene-opn4xb,opn4xb,-2.076884504,0.018523141
gene-gdnfb,gdnfb,-3.450686363,0
gene-egflam,egflam,-2.401021659,0
gene-spef2,spef2,-2.765680698,0
gene-LOC101886834,LOC101886834,-2.37775978,8.38E-13
gene-osmr,osmr,-1.802714876,2.11E-05
gene-rchy1,rchy1,1.641935126,0.000305544
gene-si:ch211-12e13.1,si:ch211-12e13.1,1.960659951,0
gene-LOC571561,LOC571561,-3.358123364,1.89E-10
gene-tal2,tal2,-2.466194131,2.63E-12
gene-LOC101886032,LOC101886032,-1.727215491,0.000940569
gene-LOC110439805,LOC110439805,-2.410835383,0.026139256
gene-LOC100534829,LOC100534829,-2.43803643,0.045915248
gene-LOC103911047,LOC103911047,-1.53394196,5.08E-05
gene-lrrc74b,lrrc74b,-2.786632865,0
gene-LOC101884919,LOC101884919,-1.578226823,0.04481125
gene-ccl19a.1,ccl19a.1,-1.774386305,0
gene-LOC110437743,LOC110437743,-4.967985428,0
gene-LOC101885516,LOC101885516,-2.60338646,0.017510783
gene-npffr1l2,npffr1l2,1.53553978,0.046893521
gene-tbx1,tbx1,-1.548471136,1.21E-15
gene-hspb8,hspb8,-4.026199778,0
gene-srrm4,srrm4,-2.197814982,5.83E-05
gene-myo1ha,myo1ha,-2.300080935,1.99E-09
gene-isg15,isg15,-1.617100127,0
gene-dao.1,dao.1,-1.774725925,0.031624336
gene-si:dkey-13n15.2,si:dkey-13n15.2,-1.685865177,0
gene-hs3st1l2,hs3st1l2,-2.021044582,8.41E-08
gene-si:dkey-13n15.11,si:dkey-13n15.11,-1.516216109,0
gene-smarca1,smarca1,-1.789600631,0
gene-amer1,amer1,3.727831409,0.000986966
gene-mtmr8,mtmr8,-2.216158511,4.01E-08
gene-si:dkey-27p18.5,si:dkey-27p18.5,-1.667424984,0.001407795
gene-si:dkey-103e21.5,si:dkey-103e21.5,-1.589302328,0
gene-zgc:113208,zgc:113208,-2.06878275,0
gene-mtnr1c,mtnr1c,-3.123906431,7.28E-12
gene-si:ch211-26b3.4,si:ch211-26b3.4,-1.649329223,0
gene-tbx5b,tbx5b,-2.918627135,0.004938698
gene-cfap73,cfap73,-2.357807803,0
gene-iqcd,iqcd,-2.379790318,0
gene-gbgt1l4,gbgt1l4,2.060505081,1.20E-08
gene-gas2l1,gas2l1,-1.574430174,0
gene-LOC101882330,LOC101882330,-2.296036517,1.34E-07
gene-LOC110439812,LOC110439812,-1.820728243,0.039344367
gene-anxa1a,anxa1a,-1.503614437,0
gene-LOC101884093,LOC101884093,-2.24832892,2.59E-07
gene-si:ch211-102c2.8,si:ch211-102c2.8,-1.503442492,0
gene-si:ch211-102c2.4,si:ch211-102c2.4,-1.632310159,0
gene-histh1l,histh1l,-1.60837263,0
gene-si:ch211-48m9.1,si:ch211-48m9.1,-1.598979224,0.001591701
gene-LOC108190082,LOC108190082,1.836128735,1.90E-05
gene-si:dkeyp-86b9.1,si:dkeyp-86b9.1,-2.915321064,0
gene-stxbp1b,stxbp1b,-3.711632977,1.14E-11
gene-si:dkey-61l1.4,si:dkey-61l1.4,2.761412504,0
gene-LOC100534861,LOC100534861,-2.163668221,0.007778664
gene-thy1,thy1,1.804101022,4.75E-15
gene-cfap77,cfap77,-5.36579557,0
gene-sdhda,sdhda,-1.906282883,0
gene-adamts15a,adamts15a,-1.564556072,2.28E-05
gene-si:ch211-117m20.5,si:ch211-117m20.5,-2.27513733,5.93E-06
gene-spns3,spns3,-3.004839761,6.08E-08
gene-pip5kl1,pip5kl1,-1.788636484,0.010111102
gene-myhz2,myhz2,-1.983788755,0
gene-myhc4,myhc4,-1.909473503,7.15E-09
gene-myha,myha,-1.76357337,3.10E-11
gene-myhz1.2,myhz1.2,-2.38323392,3.68E-10
gene-myhz1.1,myhz1.1,-2.244900934,2.43E-09
gene-ns:zf-e68,ns:zf-e68,-1.982405364,1.67E-13
gene-c9,c9,1.823831921,0.027750376
gene-dab2,dab2,1.679534867,0
gene-ncs1a,ncs1a,-1.815423374,0
gene-ifitm1,ifitm1,-2.262253301,7.47E-15
gene-LOC108190093,LOC108190093,-2.928331125,3.21E-07
gene-si:dkey-34e4.1,si:dkey-34e4.1,-1.627320087,0.023808794
gene-ankra2,ankra2,1.577364645,4.00E-11
gene-map1b,map1b,-3.045073266,1.91E-08
gene-LOC100005337,LOC100005337,-1.983757824,0.000962907
gene-erlin2,erlin2,-7.012222067,0
gene-ophn1,ophn1,-1.578609364,0
gene-efnb1,efnb1,-3.107510166,5.16E-14
gene-nova1,nova1,-1.505886048,0
gene-ckma,ckma,-1.679619693,0
gene-crx,crx,-1.844670878,0.033038051
gene-LOC564748,LOC564748,-1.505680834,2.12E-10
gene-panx1b,panx1b,-2.928137076,1.44E-06
gene-apoa1a,apoa1a,-2.142997414,0.000115409
gene-si:ch211-284e13.4,si:ch211-284e13.4,-2.890241306,1.20E-06
gene-gc3,gc3,-1.981430649,0.021036774
gene-gnb2,gnb2,-1.793338564,0
gene-cxcl13,cxcl13,-2.340554661,0.010862664
gene-antxr2a,antxr2a,-3.23820728,3.95E-14
gene-si:ch211-57h10.1,si:ch211-57h10.1,-3.437216198,0
gene-bmp3,bmp3,-4.068416959,2.10E-09
gene-wdfy3,wdfy3,-1.790474785,0
gene-pdzd2,pdzd2,-1.760282973,0
gene-eef2l2,eef2l2,-2.72916549,0
gene-wdr66,wdr66,-4.768833685,1.67E-08
gene-trpv1,trpv1,-1.613022853,0.017856035
gene-LOC110439817,LOC110439817,-2.024334067,0
gene-LOC110439819,LOC110439819,-2.295909073,3.95E-13
gene-LOC110439818,LOC110439818,-1.883148476,0
gene-LOC110439824,LOC110439824,-3.739036391,0
gene-LOC100537890,LOC100537890,-4.165008897,0
gene-cxcl20,cxcl20,-2.167066573,3.92E-10
gene-dmrt1,dmrt1,-1.686631032,0
gene-f2rl2,f2rl2,-1.535144558,0.022154933
gene-LOC101884613,LOC101884613,-1.529818101,0
gene-edil3a,edil3a,-1.699587414,6.47E-13
gene-fam81b,fam81b,-1.949977675,0.029959817
gene-zgc:194398,zgc:194398,-1.786042079,3.71E-07
gene-sdccag3,sdccag3,9.138762392,0.000182042
gene-rasgrf2b,rasgrf2b,-2.496038701,5.14E-05
gene-ckmt2b,ckmt2b,-2.270006512,0.006566238
gene-LOC100148951,LOC100148951,-2.585258254,0
gene-cmya5,cmya5,-2.003909651,9.31E-09
gene-zgc:158260,zgc:158260,-1.708858111,0
gene-grk1b,grk1b,-1.770629385,0.0315287
